similarity,matched,missing,percent,length,label
0.38706475422926734,4,7,36.36,750,1
0.014659739268596513,0,9,0.0,750,0
0.42780757837879424,3,6,33.33,711,1
0.0,0,11,0.0,711,0
0.24668141597486126,4,8,33.33,678,1
0.029701587527842625,1,10,9.09,678,0
0.3933283487169575,4,5,44.44,766,1
0.008179795785920482,0,10,0.0,766,0
0.20613329661669721,3,8,27.27,694,1
0.0349963114083627,0,10,0.0,694,0
0.3615937282273534,5,5,50.0,801,1
0.008148325778194269,1,11,8.33,801,0
0.37201434261090943,4,5,44.44,889,1
0.006880898857447464,0,10,0.0,889,0
0.31769893131630567,5,6,45.45,867,1
0.02922958222948108,1,11,8.33,867,0
0.17823317939695515,2,10,16.67,711,1
0.056277599066540285,0,10,0.0,711,0
0.4881041331375316,3,8,27.27,724,1
0.022225206909386577,1,10,9.09,724,0
0.22942931271149747,6,4,60.0,778,1
0.023090999180051787,0,11,0.0,778,0
0.14050914828021666,2,10,16.67,670,1
0.05146350470906006,1,10,9.09,670,0
0.3933283487169575,4,5,44.44,766,1
0.008179795785920482,0,10,0.0,766,0
0.24668141597486126,4,8,33.33,678,1
0.18237708397933416,3,7,30.0,678,0
0.304725796484779,2,8,20.0,709,1
0.0,0,10,0.0,709,0
0.40507422351866423,2,7,22.22,790,1
0.014803898844686761,0,11,0.0,790,0
0.2557706306397356,0,10,0.0,820,1
0.03156944896248972,0,11,0.0,820,0
0.25279665376958405,2,10,16.67,652,1
0.08494874685489319,0,11,0.0,652,0
0.2505725781721263,4,6,40.0,675,1
0.01875709989127296,0,10,0.0,675,0
0.22068013632810649,3,7,30.0,708,1
0.008920443971283356,0,10,0.0,708,0
0.3134421365084084,4,6,40.0,719,1
0.09586728616122538,3,7,30.0,719,0
0.3837991400487033,2,9,18.18,726,1
0.2689437249431076,3,7,30.0,726,0
0.2670445348694675,5,5,50.0,850,1
0.0,0,10,0.0,850,0
0.21568239707681153,2,8,20.0,682,1
0.0,0,9,0.0,682,0
0.4648280576698024,4,7,36.36,764,1
0.018303257322246674,0,10,0.0,764,0
0.18275112263366086,3,8,27.27,687,1
0.07151597485839398,3,8,27.27,687,0
0.17015701090484206,3,7,30.0,709,1
0.0229895109331015,0,11,0.0,709,0
0.25966601393437444,5,5,50.0,814,1
0.008225536836074077,0,11,0.0,814,0
0.3377750953377194,3,6,33.33,796,1
0.0,0,11,0.0,796,0
0.45966819688433913,4,7,36.36,682,1
0.010887268107192576,0,10,0.0,682,0
0.3204318851419254,5,6,45.45,863,1
0.026886760298403603,0,10,0.0,863,0
0.17823317939695515,2,10,16.67,711,1
0.056277599066540285,0,10,0.0,711,0
0.3558949888852199,3,8,27.27,761,1
0.032584880081602964,0,10,0.0,761,0
0.18275112263366086,3,8,27.27,687,1
0.07140112053452208,2,10,16.67,687,0
0.18275112263366086,3,8,27.27,687,1
0.046544738500972474,0,10,0.0,687,0
0.26060163861723246,4,8,33.33,701,1
0.009234930126988948,1,10,9.09,701,0
0.429630698266268,3,6,33.33,765,1
0.0,0,11,0.0,765,0
0.36546127873768847,4,7,36.36,714,1
0.02495426153397709,0,9,0.0,714,0
0.2705488684357973,4,5,44.44,669,1
0.0,0,10,0.0,669,0
0.37507164583032676,3,6,33.33,823,1
0.01510869372124259,0,10,0.0,823,0
0.25468560289811804,6,4,60.0,732,1
0.07029211127503088,0,12,0.0,732,0
0.33298316919467724,4,6,40.0,824,1
0.007986962515308515,0,10,0.0,824,0
0.17823317939695515,2,10,16.67,711,1
0.14287986763075558,2,9,18.18,711,0
0.34284769939505266,4,7,36.36,715,1
0.031428266378446076,0,10,0.0,715,0
0.20149058527186553,3,9,25.0,740,1
0.043299540704191314,0,10,0.0,740,0
0.28546980298057095,3,8,27.27,885,1
0.0,0,10,0.0,885,0
0.42780757837879424,3,6,33.33,711,1
0.00844707040725907,0,10,0.0,711,0
0.37507164583032676,3,6,33.33,823,1
0.014173693490362372,0,11,0.0,823,0
0.20149058527186553,3,9,25.0,740,1
0.17188157766434953,2,9,18.18,740,0
0.14050914828021666,2,10,16.67,670,1
0.04288920640068432,1,9,0.0,670,0
0.22068013632810649,3,7,30.0,708,1
0.019928369232426968,0,9,0.0,708,0
0.308751332165876,3,8,27.27,687,1
0.02066889065637349,0,10,0.0,687,0
0.4008202471419942,5,5,50.0,742,1
0.03837845077984372,2,7,22.22,742,0
